epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,808.242,1.43378,2.60397,1.63729,0.38492,0.32331,0.29276,0.16138,1.72218,3.1351,1.93156,0.000472779,0.000472779,0.000472779
2,1714.52,1.56352,2.35303,1.70307,0.40952,0.32922,0.30639,0.15383,1.89783,2.78241,2.2016,0.00093032,0.00093032,0.00093032
